opportunity_id,sales_agent,product,account,stage,created_date,close_date,amount
9CK2HTJP,Garret Kinder,GTX Plus Basic,Acme Corporation,Lost,9/6/2017,12/4/2017,931
QSCVBJNJ,Wilburn Farren,GTXPro,Acme Corporation,Lost,11/9/2017,11/23/2017,4613
2TI1UFAA,Rosie Papadopoulos,MG Special,Acme Corporation,Lost,8/15/2017,11/17/2017,54
S9CGS0IX,Corliss Cosme,GTX Plus Pro,Acme Corporation,Lost,8/28/2017,11/7/2017,5001
QC9B7V93,Boris Faz,MG Advanced,Acme Corporation,Lost,10/4/2017,10/11/2017,3078
T58F1T8V,Violet Mclelland,MG Special,Acme Corporation,Lost,9/30/2017,10/8/2017,39
DEVXF86R,Donn Cantrell,GTX Plus Basic,Acme Corporation,Lost,7/26/2017,9/29/2017,1027
FBYWCLLS,Reed Clapper,GTX Basic,Acme Corporation,Lost,9/14/2017,9/28/2017,544
JU2PPGP6,Reed Clapper,GTX Basic,Acme Corporation,Lost,9/16/2017,9/26/2017,444
J7U29ZM5,Violet Mclelland,GTX Basic,Acme Corporation,Lost,6/30/2017,9/23/2017,370
E0ITYYTG,Donn Cantrell,GTXPro,Acme Corporation,Lost,6/8/2017,8/27/2017,4638
RMUIMYJU,Boris Faz,GTX Plus Pro,Acme Corporation,Lost,8/18/2017,8/26/2017,4244
UW6FSSDK,Violet Mclelland,MG Special,Acme Corporation,Lost,5/16/2017,8/16/2017,42
3KVXBQ5V,Boris Faz,GTX Plus Basic,Acme Corporation,Lost,7/1/2017,8/15/2017,960
79IN4OVP,Cassey Cress,GTX Basic,Acme Corporation,Lost,5/3/2017,8/1/2017,527
84D18IA1,Violet Mclelland,MG Special,Acme Corporation,Lost,6/5/2017,8/1/2017,54
0WJLKMUA,Violet Mclelland,GTXPro,Acme Corporation,Lost,7/28/2017,7/29/2017,4284
FKNT3I12,Corliss Cosme,GTXPro,Acme Corporation,Lost,6/23/2017,7/1/2017,4263
3DKK3JF3,Reed Clapper,GTX Basic,Acme Corporation,Lost,3/6/2017,5/29/2017,466
IQ8MEPW9,Reed Clapper,GTXPro,Acme Corporation,Lost,5/12/2017,5/24/2017,3387
2PCPSBP9,Reed Clapper,GTX Basic,Acme Corporation,Lost,4/22/2017,5/8/2017,533
TK9T01QM,Reed Clapper,GTXPro,Acme Corporation,Lost,1/25/2017,5/7/2017,3030
V4324HG4,Violet Mclelland,MG Special,Acme Corporation,Lost,1/23/2017,5/6/2017,39
POB32WHJ,Daniell Hammack,GTX Plus Basic,Acme Corporation,Lost,3/4/2017,5/6/2017,841
R2DID6L7,Violet Mclelland,MG Special,Acme Corporation,Won,8/7/2017,11/4/2017,52
0AXGVKN8,Garret Kinder,MG Special,Acme Corporation,Won,2/24/2017,5/28/2017,55
XO8TRDKK,Garret Kinder,MG Special,Acme Corporation,Won,9/2/2017,9/17/2017,57
